AnoAbertura,Mês Abertura,Total Reclamações
2019,Janeiro,1368
2019,Favereiro,1223
2019,Março,1275
2019,Abril,1355
2019,Maio,1359
2019,Junho,1506
2019,Julho,1723
2019,Agosto,1492
2019,Setembro,1542
2019,Outubro,1991
2019,Novembro,2002
2019,Dezembro,1728
2020,Janeiro,2029
2020,Favereiro,1745
2020,Março,5353
2020,Abril,2615
2020,Maio,2124
2020,Junho,2179
2020,Julho,2257
2020,Agosto,1990
2020,Setembro,2731
2020,Outubro,3162
2020,Novembro,3399
2020,Dezembro,3402
2021,Janeiro,4068
2021,Favereiro,3710
2021,Março,4684
2021,Abril,3376
2021,Maio,3303
2021,Junho,3394
2021,Julho,3525
2021,Agosto,3574
2021,Setembro,4590
2021,Outubro,5346
2021,Novembro,5526
2021,Dezembro,5284
2022,Janeiro,7248
2022,Favereiro,4884
2022,Março,5041
2022,Abril,3721
2022,Maio,3827
2022,Junho,3844
2022,Julho,3759
2022,Agosto,4404
2022,Setembro,3495
2022,Outubro,3677
2022,Novembro,3361
2022,Dezembro,3615
